@relation oo_unweighted_2classes-weka.filters.supervised.instance.SMOTE-C0-K5-P110.0-S1

@attribute num_verbs numeric
@attribute contain_modal numeric
@attribute num_nouns numeric
@attribute num_pos_nouns numeric
@attribute pos_nouns_score numeric
@attribute num_neg_nouns numeric
@attribute neg_nouns_score numeric
@attribute num_pos_adj numeric
@attribute pos_score numeric
@attribute num_neg_adj numeric
@attribute neg_score numeric
@attribute num_adj numeric
@attribute sent_length numeric
@attribute num_question_marks numeric
@attribute num_exclamation_marks numeric
@attribute num_slash numeric
@attribute num_underscore numeric
@attribute num_hash numeric
@attribute num_currency numeric
@attribute num_percentage numeric
@attribute num_brackets_type1 numeric
@attribute num_brackets_type2 numeric
@attribute num_assertive_verbs numeric
@attribute num_requestive_verbs numeric
@attribute num_responsive_verbs numeric
@attribute num_informative_verbs numeric
@attribute num_assertive_expressions numeric
@attribute num_confirmative_expressions numeric
@attribute num_concessive_expressions numeric
@attribute num_requestive_expressions numeric
@attribute num_requirement_expressions numeric
@attribute num_question_expressions numeric
@attribute num_responsive_expressions numeric
@attribute num_suggestive_expressions numeric
@attribute num_suppositive_expressions numeric
@attribute num_attach_expressions numeric
@attribute num_code_expressions numeric
@attribute num_descriptive_expressions numeric
@attribute num_logFile_expressions numeric
@attribute num_urlLink_expressions numeric
@attribute num_sentences numeric
@attribute overall_sentiment numeric
@attribute @@class@@ {OTHER,ENHANCEMENT}

@data
4,3,21,2,0.030192,0,0,1,0.024299,1,-0.138889,1,464,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.3,0,0,6,-8,OTHER
11,2,15,9,0.392517,4,-0.275787,4,0.482233,3,-0.952388,0,715,2,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4.4,0,0,0,4,0,0,0,0,5,-10,OTHER
1,0,14,3,0.029536,1,-0.022727,0,0,1,-0.005,0,479,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,4.6,0,0,7,-14,OTHER
3,1,20,3,0.086926,4,-0.185689,0,0,0,0,3,567,0,0,1,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,2.3,0,2.3,4,-4,OTHER
9,0,14,1,0.049825,4,-0.174246,1,0.046769,3,-0.337528,6,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,-6,OTHER
11,3,14,3,0.038042,5,-0.381598,3,0.480706,0,0,2,1880,0,1,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-4,OTHER
7,1,38,6,0.232984,4,-0.112084,1,0.05102,2,-0.328913,2,3232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,OTHER
6,2,7,3,0.066499,1,-0.118264,2,0.08925,1,-0.166667,1,716,2,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2,0,0,4.3,0,0,0,0,0,4,-6,OTHER
8,1,8,2,0.124947,7,-0.47884,4,1.15624,0,0,0,481,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,-4,OTHER
5,3,11,0,0,0,0,2,0.174091,1,-0.138889,1,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,2,-4,OTHER
4,1,20,4,0.226677,3,-0.199922,0,0,3,-0.725516,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-4,OTHER
3,1,21,8,0.690928,1,-0.125,8,0.939168,2,-1.333333,4,1182,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,4,-11,OTHER
4,2,6,0,0,0,0,0,0,0,0,0,315,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,OTHER
13,3,22,7,0.326757,2,-0.377235,1,0.25,1,-0.5,4,890,1,0,0,0,0,0,0,0,0,1,1,0,0,4.3,0,4.3,9.8,0,0,0,0,0,0,0,4.6,0,0,13,-16,OTHER
7,3,45,3,0.152433,4,-0.062508,2,0.457143,3,-0.952652,4,2887,0,0,1,1,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,2.1,0,4.3,0,0,0,0,2.3,6,-15,OTHER
5,2,8,2,0.02493,4,-0.618264,1,0.5,4,-0.840905,0,525,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,6,-6,OTHER
4,3,9,3,0.035846,1,-0.038265,2,0.159091,0,0,1,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,-2,OTHER
6,1,14,2,0.037067,6,-0.103718,4,0.442235,0,0,1,618,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,7,-4,OTHER
9,2,17,4,1.301891,4,-0.952514,1,0.271886,6,-1.381667,4,1339,0,0,2,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,4.3,0,0,2.3,0,0,11,-12,OTHER
7,1,11,3,0.145218,4,-0.434118,4,0.713893,0,0,1,498,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,9,-12,OTHER
