@relation senercon

@attribute num_verbs numeric
@attribute contain_modal numeric
@attribute num_nouns numeric
@attribute num_pos_nouns numeric
@attribute pos_nouns_score numeric
@attribute num_neg_nouns numeric
@attribute neg_nouns_score numeric
@attribute num_pos_adj numeric
@attribute pos_score numeric
@attribute num_neg_adj numeric
@attribute neg_score numeric
@attribute num_adj numeric
@attribute sent_length numeric
@attribute num_question_marks numeric
@attribute num_exclamation_marks numeric
@attribute num_slash numeric
@attribute num_underscore numeric
@attribute num_hash numeric
@attribute num_currency numeric
@attribute num_percentage numeric
@attribute num_brackets_type1 numeric
@attribute num_brackets_type2 numeric
@attribute num_assertive_verbs numeric
@attribute num_requestive_verbs numeric
@attribute num_responsive_verbs numeric
@attribute num_informative_verbs numeric
@attribute num_assertive_expressions numeric
@attribute num_confirmative_expressions numeric
@attribute num_concessive_expressions numeric
@attribute num_requestive_expressions numeric
@attribute num_requirement_expressions numeric
@attribute num_question_expressions numeric
@attribute num_responsive_expressions numeric
@attribute num_suggestive_expressions numeric
@attribute num_suppositive_expressions numeric
@attribute num_attach_expressions numeric
@attribute num_code_expressions numeric
@attribute num_descriptive_expressions numeric
@attribute num_logFile_expressions numeric
@attribute num_urlLink_expressions numeric
@attribute num_sentences numeric
@attribute overall_sentiment numeric
@attribute @@class@@ {OTHER,ENHANCEMENT}

@data
1,0,1,1,0.068182,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,OTHER
4,1,3,1,0.108471,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,4,4,OTHER
2,0,4,0,0,2,-0.340909,1,0.25,3,-0.232273,0,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,-2,OTHER
4,2,9,5,0.171562,4,-0.510204,2,0.583333,2,-0.370204,4,470,1,0,0,0,1,0,0,0,0,0,0,1,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,7,-10,OTHER
5,3,5,6,0.186966,1,-0.02551,0,0,0,0,2,375,1,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,2.2,0,0,0,0,0,0,0,0,6,2,OTHER
4,1,9,4,0.126576,1,-0.386364,3,0.902508,3,-0.935641,1,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,6.9,0,0,6,-10,OTHER
0,0,2,0,0,0,0,1,0.127412,0,0,0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,OTHER
0,0,4,3,0.057582,2,-0.084105,0,0,1,-0.22,1,235,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,OTHER
1,1,3,0,0,1,-0.004028,1,0.708942,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,OTHER
0,0,5,2,0.075514,1,-0.004028,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,OTHER
1,0,1,1,0.004028,2,-0.030375,1,0.118613,0,0,1,153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,-4,OTHER
12,3,4,4,0.303915,1,-0.085034,0,0,0,0,1,423,0,0,0,0,0,0,0,0,0,2,2,0,0,12.9,0,0,4.9,0,0,0,4.5,0,0,0,0,0,0,8,-10,OTHER
9,4,2,4,0.384314,6,-1.868228,1,0.164234,0,0,1,409,1,0,1,0,1,0,0,0,0,0,0,1,0,4.3,0,0,0,0,2.2,0,4.5,0,0,0,0,0,0,7,-8,OTHER
1,0,1,0,0,1,-0.386364,1,0.103102,0,0,0,109,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,-2,OTHER
5,3,13,10,0.836411,1,-0.015,5,0.85221,0,0,1,678,1,0,0,0,1,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,0,0,0,2.3,0,0,8,-8,OTHER
1,1,7,4,0.370345,0,0,1,0.708942,0,0,2,233,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,OTHER
1,1,1,0,0,0,0,1,0.499088,0,0,1,150,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,5,2,OTHER
5,3,7,3,0.106113,3,-0.241356,1,0.113602,1,-0.113636,4,597,1,3,1,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,4.3,0,0,0,0,0,5,-4,OTHER
2,0,1,5,0.339909,2,-0.340909,2,0.319354,2,-0.36065,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-6,OTHER
1,1,3,1,0.108471,0,0,1,0.19,0,0,0,133,0,0,0,0,1,0,0,0,0,0,0,0,0,4.3,0,0,4.9,0,0,0,0,0,0,0,0,0,0,2,0,OTHER
1,1,7,2,0.146914,1,-0.012755,0,0,1,-0.629156,0,265,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,6,2,OTHER
1,1,2,1,0.125,2,-0.151984,0,0,0,0,1,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,0,OTHER
4,2,4,0,0,1,-0.02551,0,0,1,-0.073144,1,190,2,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,4.4,0,0,0,0,0,2.3,0,0,5,-6,OTHER
3,1,2,2,0.128031,0,0,3,1.24551,1,-0.166667,0,280,0,0,0,0,1,0,0,0,0,1,0,0,0,4.3,0,0,0,0,0,0,0,4.3,0,0,0,0,0,5,-6,OTHER
0,0,4,4,0.206746,0,0,1,0.25,1,-0.119319,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,OTHER
2,2,3,1,0.064016,0,0,0,0,0,0,0,151,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,-4,OTHER
3,1,10,1,0.010949,0,0,2,0.945,1,-0.181818,0,359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,5,-4,OTHER
3,2,2,1,0.064016,1,-0.355142,1,0.127412,0,0,0,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2.2,0,0,0,0,0,0,0,0,4,0,OTHER
9,3,4,5,0.207328,1,-0.118264,1,0.272727,1,-0.258562,1,373,0,0,0,0,0,0,0,0,0,1,0,1,0,8.6,0,0,0,5.1,0,0,4.5,0,0,0,0,0,0,5,2,OTHER
1,0,2,2,0.076886,0,0,1,0.090909,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,3,-4,OTHER
2,1,5,7,0.375883,2,-0.052819,1,0.633763,1,-0.119319,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,OTHER
3,2,6,3,0.087205,1,-0.06,1,0.127412,1,-0.073144,1,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,4,-4,OTHER
2,2,4,6,0.401912,0,0,1,0.031934,1,-0.020339,0,228,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,4,-2,OTHER
5,2,3,4,0.534016,0,0,1,0.61,0,0,0,229,0,0,2,0,1,0,0,0,0,0,0,1,0,8.6,0,0,4.9,0,0,0,0,0,0,0,0,0,0,4,-6,OTHER
2,2,4,2,0.255622,0,0,0,0,0,0,0,205,1,0,1,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,2.2,0,0,0,0,0,2.3,0,0,4,-4,OTHER
0,0,1,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,OTHER
0,0,5,2,0.125718,1,-0.010375,0,0,2,-0.208913,2,213,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,OTHER
1,1,3,1,0.017183,0,0,0,0,0,0,0,189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,3,-4,OTHER
3,0,3,1,0.25,1,-0.118264,1,0.127412,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,OTHER
4,2,1,5,0.7052,0,0,0,0,0,0,0,206,1,0,0,0,0,0,0,0,0,0,0,1,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,4,0,OTHER
3,1,5,2,0.164734,0,0,2,0.206204,1,-0.629156,4,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0,0,0,0,5,-6,OTHER
0,0,2,0,0,0,0,0,0,1,-0.36,2,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,2,-2,OTHER
2,2,11,3,0.141199,1,-0.045455,1,0.103102,0,0,2,270,1,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,2.2,0,0,0,0,0,0,0,0,5,-2,OTHER
14,6,17,8,0.622272,3,-0.127524,4,0.21674,5,-0.203748,1,954,2,0,0,0,0,0,0,0,0,0,1,0,1,12.9,0,0,0,10.2,2.2,0,0,4.3,0,0,0,0,0,12,-12,OTHER
1,1,5,5,0.162075,0,0,0,0,1,-0.11949,0,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,4,-2,OTHER
4,3,11,9,0.507545,7,-1.265953,2,0.496212,1,-0.119319,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0,4.9,0,0,0,0,0,0,0,0,0,0,10,0,OTHER
5,1,6,3,0.5,0,0,0,0,4,-0.574437,2,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,OTHER
3,0,2,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,2,0,OTHER
1,0,1,4,0.274432,0,0,2,0.51766,1,-0.020339,0,263,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,0,OTHER
0,0,2,1,0.017183,2,-0.116089,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,OTHER
2,0,2,1,0.108471,3,-0.274793,0,0,0,0,1,206,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,2.2,0,0,0,0,0,0,0,0,3,0,OTHER
3,1,0,2,0.172487,0,0,0,0,1,-0.629156,2,192,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-4,OTHER
1,1,1,1,0.068182,1,-0.355142,1,0.127412,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-4,OTHER
